,amecaji,TOP_RGB,BOTTOM_RGB,path
119,,"(102, 98, 83)","(143, 138, 125)",amecaji_images/3_0.webp
120,,"(79, 81, 64)","(113, 99, 110)",amecaji_images/3_1.webp
121,,"(175, 167, 159)","(41, 39, 38)",amecaji_images/3_2.webp
122,,"(104, 108, 128)","(89, 89, 91)",amecaji_images/3_3.webp
123,,"(49, 46, 50)","(83, 79, 84)",amecaji_images/3_4.webp
124,,"(165, 142, 117)","(152, 151, 151)",amecaji_images/3_5.webp
125,,"(67, 62, 59)","(171, 158, 145)",amecaji_images/3_6.webp
126,,"(111, 88, 53)","(167, 161, 146)",amecaji_images/3_7.webp
127,,"(199, 189, 183)","(64, 64, 66)",amecaji_images/3_8.webp
128,,"(68, 68, 76)","(127, 121, 129)",amecaji_images/3_9.webp
129,,"(197, 196, 179)","(93, 95, 78)",amecaji_images/3_10.webp
130,,"(124, 117, 108)","(116, 108, 97)",amecaji_images/3_11.webp
131,,"(138, 121, 98)","(82, 80, 78)",amecaji_images/3_12.webp
132,,"(53, 65, 90)","(95, 106, 115)",amecaji_images/3_13.webp
133,,"(145, 128, 121)","(62, 62, 56)",amecaji_images/3_14.webp
134,,"(147, 126, 124)","(162, 145, 140)",amecaji_images/3_15.webp
135,,"(64, 62, 67)","(126, 119, 106)",amecaji_images/3_16.webp
136,,"(144, 144, 153)","(101, 91, 74)",amecaji_images/3_17.webp
137,,"(89, 86, 90)","(106, 99, 87)",amecaji_images/3_18.webp
138,,"(153, 150, 158)","(176, 155, 145)",amecaji_images/3_19.webp
139,,"(120, 109, 98)","(108, 105, 109)",amecaji_images/3_20.webp
140,,"(72, 75, 100)","(70, 72, 95)",amecaji_images/3_21.webp
141,,"(155, 134, 111)","(43, 69, 94)",amecaji_images/3_22.webp
142,,"(202, 188, 177)","(145, 132, 119)",amecaji_images/3_23.webp
143,,"(109, 114, 131)","(115, 127, 151)",amecaji_images/3_24.webp
144,,"(132, 126, 121)","(67, 88, 115)",amecaji_images/3_25.webp
145,,"(77, 82, 88)","(70, 71, 76)",amecaji_images/3_26.webp
146,,"(110, 98, 96)","(180, 177, 173)",amecaji_images/3_27.webp
147,,"(122, 143, 183)","(124, 144, 180)",amecaji_images/3_29.webp
148,,"(77, 81, 100)","(96, 105, 130)",amecaji_images/3_30.webp
149,,"(34, 42, 48)","(74, 78, 79)",amecaji_images/3_31.webp
150,,"(142, 160, 170)","(114, 128, 128)",amecaji_images/3_32.webp
151,,"(165, 148, 128)","(92, 100, 101)",amecaji_images/3_33.webp
152,,"(68, 68, 66)",,amecaji_images/3_34.webp
153,,"(42, 47, 61)","(176, 140, 116)",amecaji_images/3_35.webp
154,,"(58, 50, 41)","(106, 101, 95)",amecaji_images/3_36.webp
155,,"(101, 79, 75)","(50, 48, 56)",amecaji_images/3_37.webp
156,,"(74, 72, 69)","(131, 129, 114)",amecaji_images/3_38.webp
157,,"(121, 109, 106)","(90, 75, 74)",amecaji_images/3_39.webp
158,,"(31, 32, 35)","(73, 84, 90)",amecaji_images/3_40.webp
159,,"(143, 114, 84)","(58, 55, 53)",amecaji_images/3_41.webp
160,,"(200, 198, 182)","(198, 197, 183)",amecaji_images/3_42.webp
161,,"(55, 65, 70)","(118, 111, 100)",amecaji_images/3_43.webp
162,,"(54, 54, 52)","(143, 135, 131)",amecaji_images/3_44.webp
163,,"(97, 112, 128)","(49, 49, 56)",amecaji_images/3_45.webp
164,,"(199, 203, 195)","(190, 130, 60)",amecaji_images/3_46.webp
165,,"(44, 43, 42)","(68, 97, 111)",amecaji_images/3_47.webp
166,,"(13, 25, 42)","(158, 164, 166)",amecaji_images/3_48.webp
167,,"(155, 134, 101)",,amecaji_images/3_49.webp
168,,"(113, 115, 83)",,amecaji_images/3_50.webp
169,,"(84, 93, 107)","(38, 50, 67)",amecaji_images/3_51.webp
170,,"(58, 22, 29)","(45, 46, 50)",amecaji_images/3_52.webp
171,,"(19, 19, 19)","(16, 27, 35)",amecaji_images/3_53.webp
172,,"(61, 57, 55)","(59, 70, 83)",amecaji_images/3_54.webp
173,,"(65, 103, 129)","(33, 43, 37)",amecaji_images/3_55.webp
174,,"(76, 82, 64)","(67, 53, 42)",amecaji_images/3_56.webp
175,,"(34, 29, 39)","(35, 41, 47)",amecaji_images/3_57.webp
176,,"(54, 57, 58)","(60, 64, 56)",amecaji_images/3_58.webp
177,,"(75, 74, 78)","(168, 143, 124)",amecaji_images/3_59.webp
178,,"(75, 74, 78)","(168, 143, 124)",amecaji_images/4_0.webp
179,,"(157, 142, 137)","(105, 102, 116)",amecaji_images/4_1.webp
180,,"(58, 68, 58)",,amecaji_images/4_2.webp
181,,"(130, 125, 122)","(102, 102, 95)",amecaji_images/4_3.webp
182,,"(135, 126, 119)","(41, 53, 67)",amecaji_images/4_4.webp
183,,"(102, 99, 81)",,amecaji_images/4_5.webp
184,,"(91, 95, 81)","(139, 151, 157)",amecaji_images/4_6.webp
185,,"(91, 91, 90)","(114, 109, 102)",amecaji_images/4_7.webp
186,,"(107, 91, 70)","(139, 124, 107)",amecaji_images/4_8.webp
187,,"(143, 181, 168)","(60, 103, 135)",amecaji_images/4_9.webp
188,,"(78, 91, 108)",,amecaji_images/4_10.webp
189,,"(52, 48, 48)","(182, 141, 129)",amecaji_images/4_11.webp
190,,"(152, 143, 109)","(97, 102, 103)",amecaji_images/4_12.webp
191,,"(164, 155, 122)","(111, 123, 139)",amecaji_images/4_13.webp
192,,"(49, 72, 96)","(129, 115, 104)",amecaji_images/4_14.webp
193,,"(89, 84, 89)","(61, 58, 64)",amecaji_images/4_15.webp
194,,"(129, 131, 137)","(171, 149, 125)",amecaji_images/4_16.webp
195,,"(190, 189, 189)","(21, 24, 29)",amecaji_images/4_18.webp
196,,"(161, 126, 93)","(94, 68, 56)",amecaji_images/4_19.webp
197,,"(92, 86, 102)","(59, 60, 75)",amecaji_images/4_20.webp
198,,"(48, 48, 51)","(65, 66, 64)",amecaji_images/4_21.webp
199,,"(121, 91, 79)","(133, 121, 106)",amecaji_images/4_22.webp
200,,"(57, 52, 52)","(83, 75, 74)",amecaji_images/4_23.webp
201,,"(27, 24, 26)","(28, 29, 34)",amecaji_images/4_24.webp
202,,"(25, 28, 32)","(159, 161, 173)",amecaji_images/4_25.webp
203,,"(82, 87, 92)","(14, 14, 17)",amecaji_images/4_26.webp
204,,"(133, 125, 114)","(65, 60, 55)",amecaji_images/4_27.webp
205,,"(80, 77, 64)","(65, 63, 59)",amecaji_images/4_28.webp
206,,"(54, 53, 59)","(173, 138, 152)",amecaji_images/4_29.webp
207,,"(40, 46, 52)","(63, 65, 64)",amecaji_images/4_30.webp
208,,"(79, 65, 61)","(59, 30, 25)",amecaji_images/4_31.webp
209,,"(63, 69, 71)","(54, 54, 53)",amecaji_images/4_32.webp
210,,"(89, 81, 73)","(106, 102, 98)",amecaji_images/4_33.webp
211,,"(45, 46, 58)","(95, 92, 85)",amecaji_images/4_34.webp
212,,"(88, 95, 105)","(96, 89, 91)",amecaji_images/4_35.webp
213,,"(88, 83, 86)","(68, 64, 71)",amecaji_images/4_36.webp
214,,"(85, 80, 79)","(66, 61, 56)",amecaji_images/4_37.webp
215,,"(65, 61, 50)","(105, 103, 101)",amecaji_images/4_39.webp
216,,"(116, 112, 96)","(133, 121, 117)",amecaji_images/4_40.webp
217,,"(97, 92, 71)","(106, 91, 74)",amecaji_images/4_41.webp
218,,"(145, 131, 105)","(166, 155, 127)",amecaji_images/4_42.webp
219,,"(134, 87, 56)","(33, 39, 50)",amecaji_images/4_43.webp
220,,"(48, 44, 50)","(121, 105, 108)",amecaji_images/4_44.webp
221,,"(102, 108, 118)","(69, 81, 84)",amecaji_images/4_45.webp
222,,"(105, 104, 104)","(74, 75, 83)",amecaji_images/4_46.webp
223,,"(126, 122, 111)","(64, 65, 77)",amecaji_images/4_47.webp
224,,"(72, 70, 78)","(84, 82, 87)",amecaji_images/4_48.webp
225,,"(64, 56, 49)","(101, 100, 94)",amecaji_images/4_49.webp
226,,"(121, 124, 128)","(172, 175, 189)",amecaji_images/4_50.webp
227,,"(101, 95, 94)","(47, 54, 62)",amecaji_images/4_51.webp
228,,"(89, 100, 109)","(52, 69, 80)",amecaji_images/4_52.webp
229,,"(127, 129, 135)","(44, 44, 45)",amecaji_images/4_53.webp
230,,"(76, 69, 63)","(58, 49, 54)",amecaji_images/4_54.webp
231,,"(56, 55, 45)","(36, 34, 24)",amecaji_images/4_55.webp
232,,"(71, 78, 96)","(71, 70, 78)",amecaji_images/4_56.webp
233,,"(116, 130, 135)","(63, 67, 55)",amecaji_images/4_57.webp
234,,"(155, 143, 140)","(73, 74, 72)",amecaji_images/4_58.webp
235,,"(126, 122, 114)","(132, 132, 134)",amecaji_images/4_59.webp
236,,"(148, 135, 123)","(90, 92, 97)",amecaji_images/5_0.webp
237,,"(181, 151, 114)","(57, 62, 69)",amecaji_images/5_1.webp
238,,"(24, 59, 66)","(124, 136, 133)",amecaji_images/5_2.webp
239,,"(95, 88, 82)","(152, 136, 106)",amecaji_images/5_3.webp
240,,"(119, 102, 91)","(22, 21, 25)",amecaji_images/5_4.webp
241,,"(68, 73, 92)","(91, 96, 102)",amecaji_images/5_5.webp
242,,"(69, 65, 59)","(119, 118, 115)",amecaji_images/5_6.webp
243,,"(58, 60, 67)","(21, 19, 19)",amecaji_images/5_7.webp
244,,"(101, 94, 79)","(92, 74, 70)",amecaji_images/5_8.webp
245,,"(71, 47, 67)","(186, 154, 121)",amecaji_images/5_9.webp
246,,"(134, 128, 107)","(79, 112, 131)",amecaji_images/5_10.webp
247,,"(61, 74, 93)","(100, 100, 92)",amecaji_images/5_11.webp
248,,"(163, 136, 118)","(79, 79, 79)",amecaji_images/5_12.webp
249,,"(185, 154, 97)","(178, 170, 158)",amecaji_images/5_13.webp
250,,"(140, 111, 92)","(53, 50, 39)",amecaji_images/5_14.webp
251,,"(78, 77, 80)","(71, 66, 67)",amecaji_images/5_15.webp
252,,"(189, 180, 185)",,amecaji_images/5_16.webp
253,,"(182, 156, 143)","(79, 77, 73)",amecaji_images/5_17.webp
254,,"(78, 82, 91)","(167, 129, 122)",amecaji_images/5_18.webp
255,,"(103, 104, 109)","(98, 94, 98)",amecaji_images/5_19.webp
256,,"(198, 194, 199)","(158, 136, 103)",amecaji_images/5_20.webp
257,,"(53, 56, 59)","(59, 63, 65)",amecaji_images/5_21.webp
258,,"(70, 63, 67)","(136, 124, 126)",amecaji_images/5_22.webp
259,,"(178, 176, 176)","(107, 91, 69)",amecaji_images/5_23.webp
260,,"(203, 200, 197)","(88, 91, 98)",amecaji_images/5_24.webp
261,,"(215, 210, 216)","(169, 156, 149)",amecaji_images/5_25.webp
262,,"(176, 159, 150)","(78, 70, 61)",amecaji_images/5_26.webp
263,,"(194, 190, 193)","(182, 178, 167)",amecaji_images/5_27.webp
264,,"(160, 109, 74)","(214, 213, 216)",amecaji_images/5_28.webp
265,,"(168, 182, 205)","(46, 45, 52)",amecaji_images/5_29.webp
266,,"(109, 128, 148)","(90, 100, 108)",amecaji_images/5_30.webp
267,,"(43, 65, 95)","(59, 78, 102)",amecaji_images/5_31.webp
268,,"(198, 196, 199)","(167, 163, 158)",amecaji_images/5_32.webp
269,,"(64, 60, 61)","(83, 81, 78)",amecaji_images/5_33.webp
270,,"(29, 40, 56)","(133, 123, 109)",amecaji_images/5_34.webp
271,,"(207, 161, 89)","(87, 81, 83)",amecaji_images/5_35.webp
272,,"(90, 105, 127)","(89, 94, 84)",amecaji_images/5_36.webp
273,,"(178, 168, 154)","(59, 91, 123)",amecaji_images/5_37.webp
274,,"(106, 102, 110)","(51, 49, 54)",amecaji_images/5_38.webp
275,,"(62, 57, 62)","(62, 65, 79)",amecaji_images/5_39.webp
276,,"(130, 87, 61)","(53, 73, 107)",amecaji_images/5_40.webp
277,,"(59, 51, 50)","(160, 132, 112)",amecaji_images/5_41.webp
278,,"(66, 66, 74)","(114, 113, 110)",amecaji_images/5_42.webp
279,,"(108, 91, 83)","(66, 65, 68)",amecaji_images/5_43.webp
280,,"(41, 42, 43)","(118, 118, 117)",amecaji_images/5_44.webp
281,,"(52, 63, 80)","(76, 77, 82)",amecaji_images/5_45.webp
282,,"(46, 38, 40)","(145, 122, 102)",amecaji_images/5_46.webp
283,,"(79, 75, 77)","(71, 62, 60)",amecaji_images/5_47.webp
284,,"(36, 34, 32)","(77, 40, 32)",amecaji_images/5_48.webp
285,,"(58, 69, 82)","(138, 131, 113)",amecaji_images/5_49.webp
286,,"(86, 90, 103)","(88, 92, 93)",amecaji_images/5_50.webp
287,,"(27, 48, 70)","(68, 77, 77)",amecaji_images/5_51.webp
288,,"(33, 36, 42)","(68, 70, 64)",amecaji_images/5_52.webp
289,,"(94, 139, 187)","(29, 34, 47)",amecaji_images/5_53.webp
290,,"(73, 66, 65)","(76, 80, 66)",amecaji_images/5_54.webp
291,,"(23, 24, 29)","(54, 57, 61)",amecaji_images/5_55.webp
292,,"(85, 65, 58)","(58, 69, 81)",amecaji_images/5_56.webp
293,,"(87, 94, 88)","(164, 152, 136)",amecaji_images/5_57.webp
294,,"(162, 158, 144)","(115, 102, 84)",amecaji_images/5_58.webp
295,,"(100, 86, 84)","(58, 55, 58)",amecaji_images/5_59.webp
296,,"(65, 77, 101)","(69, 72, 79)",amecaji_images/6_0.webp
297,,"(84, 86, 75)",,amecaji_images/6_1.webp
298,,"(61, 61, 63)","(55, 58, 64)",amecaji_images/6_2.webp
299,,"(112, 77, 64)","(94, 90, 90)",amecaji_images/6_3.webp
300,,"(153, 148, 139)","(70, 71, 75)",amecaji_images/6_4.webp
301,,"(198, 99, 61)","(119, 102, 74)",amecaji_images/6_5.webp
302,,"(94, 98, 104)","(129, 117, 108)",amecaji_images/6_6.webp
303,,"(80, 80, 81)","(142, 135, 120)",amecaji_images/6_7.webp
304,,"(72, 64, 59)","(102, 93, 82)",amecaji_images/6_8.webp
305,,"(108, 110, 109)","(35, 46, 57)",amecaji_images/6_9.webp
306,,"(116, 118, 91)","(89, 95, 93)",amecaji_images/6_10.webp
307,,"(92, 84, 66)","(91, 101, 81)",amecaji_images/6_11.webp
308,,"(173, 137, 100)","(111, 132, 143)",amecaji_images/6_12.webp
309,,"(102, 112, 102)","(77, 76, 74)",amecaji_images/6_13.webp
310,,"(31, 34, 41)","(33, 32, 37)",amecaji_images/6_14.webp
311,,"(20, 34, 51)","(78, 84, 95)",amecaji_images/6_15.webp
312,,"(53, 38, 53)","(44, 42, 48)",amecaji_images/6_16.webp
313,,"(191, 168, 145)","(63, 65, 69)",amecaji_images/6_17.webp
314,,"(92, 108, 102)","(99, 131, 151)",amecaji_images/6_18.webp
315,,"(52, 49, 52)","(160, 134, 92)",amecaji_images/6_19.webp
316,,"(186, 157, 126)","(69, 119, 146)",amecaji_images/6_20.webp
317,,"(83, 62, 51)","(84, 78, 71)",amecaji_images/6_21.webp
318,,"(28, 45, 70)","(86, 80, 70)",amecaji_images/6_22.webp
319,,"(51, 80, 76)","(30, 68, 62)",amecaji_images/6_23.webp
320,,"(65, 85, 100)","(86, 96, 101)",amecaji_images/6_24.webp
321,,"(37, 44, 56)","(44, 54, 67)",amecaji_images/6_25.webp
322,,"(117, 111, 61)","(115, 108, 72)",amecaji_images/6_26.webp
323,,"(59, 78, 100)","(179, 175, 174)",amecaji_images/6_27.webp
324,,"(82, 73, 69)","(71, 72, 84)",amecaji_images/6_28.webp
325,,"(46, 60, 77)","(193, 180, 160)",amecaji_images/6_29.webp
326,,"(196, 189, 183)","(220, 213, 206)",amecaji_images/6_30.webp
327,,"(22, 38, 68)","(54, 61, 75)",amecaji_images/6_31.webp
328,,"(60, 94, 125)","(162, 172, 193)",amecaji_images/6_32.webp
329,,"(59, 59, 71)","(75, 70, 76)",amecaji_images/6_33.webp
330,,"(211, 209, 215)","(34, 37, 42)",amecaji_images/6_34.webp
331,,"(92, 110, 126)","(43, 49, 49)",amecaji_images/6_35.webp
332,,"(54, 53, 51)","(65, 64, 70)",amecaji_images/6_36.webp
333,,"(56, 59, 57)","(170, 155, 134)",amecaji_images/6_37.webp
334,,"(153, 135, 126)","(198, 194, 192)",amecaji_images/6_38.webp
335,,"(47, 49, 55)","(94, 91, 71)",amecaji_images/6_39.webp
336,,"(141, 133, 117)","(225, 217, 212)",amecaji_images/6_40.webp
337,,"(150, 158, 164)","(60, 57, 51)",amecaji_images/6_41.webp
338,,"(165, 112, 62)","(149, 116, 84)",amecaji_images/6_42.webp
339,,"(52, 62, 70)","(150, 146, 146)",amecaji_images/6_43.webp
340,,"(176, 173, 181)","(75, 69, 54)",amecaji_images/6_44.webp
341,,"(115, 58, 58)","(169, 165, 158)",amecaji_images/6_45.webp
342,,"(211, 211, 206)","(132, 136, 124)",amecaji_images/6_46.webp
343,,"(210, 207, 208)","(70, 68, 69)",amecaji_images/6_47.webp
344,,"(64, 91, 114)","(119, 131, 147)",amecaji_images/6_48.webp
345,,"(215, 209, 208)","(196, 186, 170)",amecaji_images/6_49.webp
346,,"(134, 124, 114)","(123, 134, 141)",amecaji_images/6_50.webp
347,,"(69, 75, 72)","(66, 67, 62)",amecaji_images/6_51.webp
348,,"(101, 101, 102)","(18, 24, 30)",amecaji_images/6_52.webp
349,,"(188, 189, 191)","(173, 86, 91)",amecaji_images/6_53.webp
350,,"(47, 58, 65)","(157, 164, 172)",amecaji_images/6_54.webp
351,,"(169, 161, 153)","(79, 80, 80)",amecaji_images/6_55.webp
352,,"(20, 76, 137)","(22, 66, 117)",amecaji_images/6_56.webp
353,,"(189, 184, 184)","(155, 140, 127)",amecaji_images/6_57.webp
354,,"(140, 123, 112)","(85, 85, 74)",amecaji_images/6_58.webp
355,,"(43, 45, 47)","(58, 58, 62)",amecaji_images/6_59.webp
356,,"(91, 91, 74)","(97, 93, 78)",amecaji_images/7_0.webp
357,,"(186, 175, 168)","(66, 65, 56)",amecaji_images/7_1.webp
358,,"(209, 187, 171)","(180, 164, 143)",amecaji_images/7_2.webp
359,,"(70, 81, 92)","(40, 56, 72)",amecaji_images/7_3.webp
360,,"(152, 88, 58)","(51, 50, 48)",amecaji_images/7_4.webp
361,,"(117, 117, 119)","(125, 132, 111)",amecaji_images/7_5.webp
362,,"(106, 129, 128)","(178, 165, 155)",amecaji_images/7_6.webp
363,,"(64, 77, 95)","(52, 67, 84)",amecaji_images/7_7.webp
364,,"(123, 129, 112)","(112, 99, 87)",amecaji_images/7_8.webp
365,,"(178, 118, 65)","(154, 140, 120)",amecaji_images/7_9.webp
366,,"(48, 45, 45)","(39, 49, 47)",amecaji_images/7_10.webp
367,,"(41, 93, 130)","(164, 134, 111)",amecaji_images/7_11.webp
