,TOP_RGB,BOTTOM_RGB,path
287,"(172, 170, 173)","(56, 58, 69)",businesscasual_images/5_52.webp
288,"(65, 59, 68)","(59, 57, 65)",businesscasual_images/5_53.webp
289,"(50, 43, 43)","(55, 57, 59)",businesscasual_images/5_54.webp
291,"(52, 58, 51)","(126, 126, 121)",businesscasual_images/5_56.webp
292,"(155, 168, 191)","(35, 40, 49)",businesscasual_images/5_57.webp
293,"(213, 199, 180)","(204, 187, 169)",businesscasual_images/5_58.webp
294,"(86, 88, 96)","(72, 74, 83)",businesscasual_images/5_59.webp
295,"(90, 90, 100)","(166, 179, 183)",businesscasual_images/6_0.webp
296,"(138, 127, 135)","(51, 65, 76)",businesscasual_images/6_1.webp
297,"(103, 107, 128)","(109, 115, 135)",businesscasual_images/6_2.webp
298,"(80, 85, 108)","(125, 141, 165)",businesscasual_images/6_3.webp
299,"(91, 96, 109)","(169, 111, 126)",businesscasual_images/6_4.webp
300,"(100, 85, 83)","(77, 71, 70)",businesscasual_images/6_5.webp
301,"(78, 74, 81)","(72, 68, 75)",businesscasual_images/6_6.webp
302,"(123, 114, 96)","(178, 150, 118)",businesscasual_images/6_7.webp
303,"(64, 65, 72)","(48, 48, 53)",businesscasual_images/6_9.webp
304,"(48, 50, 53)","(21, 24, 29)",businesscasual_images/6_10.webp
305,"(56, 55, 69)","(34, 45, 65)",businesscasual_images/6_11.webp
306,"(91, 75, 67)","(200, 197, 200)",businesscasual_images/6_12.webp
308,"(52, 51, 60)","(55, 56, 66)",businesscasual_images/6_14.webp
309,"(42, 82, 92)","(176, 169, 180)",businesscasual_images/6_15.webp
310,"(61, 71, 98)","(70, 77, 101)",businesscasual_images/6_16.webp
311,"(74, 78, 92)","(57, 57, 75)",businesscasual_images/6_17.webp
312,"(50, 52, 72)","(67, 68, 84)",businesscasual_images/6_18.webp
313,"(50, 54, 78)","(59, 58, 73)",businesscasual_images/6_19.webp
314,"(55, 50, 54)","(55, 53, 57)",businesscasual_images/6_20.webp
315,"(67, 74, 91)","(194, 179, 174)",businesscasual_images/6_21.webp
316,"(200, 192, 186)","(171, 156, 149)",businesscasual_images/6_22.webp
317,"(134, 111, 102)","(127, 110, 101)",businesscasual_images/6_23.webp
318,"(62, 74, 88)","(60, 75, 90)",businesscasual_images/6_24.webp
319,"(111, 115, 127)","(38, 46, 56)",businesscasual_images/6_25.webp
320,"(71, 75, 87)","(81, 63, 63)",businesscasual_images/6_26.webp
321,"(154, 141, 136)","(61, 57, 64)",businesscasual_images/6_27.webp
322,"(122, 105, 104)","(135, 116, 110)",businesscasual_images/6_28.webp
324,"(144, 111, 50)","(120, 88, 67)",businesscasual_images/6_30.webp
326,"(54, 54, 60)","(60, 60, 64)",businesscasual_images/6_32.webp
328,"(70, 64, 75)","(161, 135, 135)",businesscasual_images/6_34.webp
329,"(108, 115, 141)","(173, 157, 167)",businesscasual_images/6_35.webp
330,"(57, 63, 79)","(78, 86, 108)",businesscasual_images/6_36.webp
331,"(93, 96, 120)","(63, 65, 89)",businesscasual_images/6_37.webp
333,"(107, 99, 113)","(105, 111, 125)",businesscasual_images/6_39.webp
334,"(71, 70, 70)","(32, 31, 31)",businesscasual_images/6_40.webp
336,"(15, 16, 25)","(114, 87, 63)",businesscasual_images/6_42.webp
338,"(136, 131, 120)","(137, 124, 123)",businesscasual_images/6_44.webp
339,"(87, 88, 70)","(23, 23, 25)",businesscasual_images/6_45.webp
340,"(106, 105, 102)","(129, 127, 125)",businesscasual_images/6_46.webp
341,"(70, 72, 66)","(68, 70, 69)",businesscasual_images/6_47.webp
342,"(117, 90, 63)","(136, 100, 59)",businesscasual_images/6_48.webp
343,"(136, 129, 117)","(100, 96, 87)",businesscasual_images/6_49.webp
344,"(32, 40, 57)","(157, 145, 138)",businesscasual_images/6_50.webp
345,"(168, 158, 163)","(159, 161, 164)",businesscasual_images/6_51.webp
346,"(172, 170, 173)","(56, 58, 69)",businesscasual_images/6_52.webp
347,"(65, 59, 68)","(59, 57, 65)",businesscasual_images/6_53.webp
348,"(50, 43, 43)","(55, 57, 59)",businesscasual_images/6_54.webp
350,"(52, 58, 51)","(126, 126, 121)",businesscasual_images/6_56.webp
351,"(155, 168, 191)","(35, 40, 49)",businesscasual_images/6_57.webp
352,"(213, 199, 180)","(204, 187, 169)",businesscasual_images/6_58.webp
353,"(86, 88, 96)","(72, 74, 83)",businesscasual_images/6_59.webp
354,"(90, 90, 100)","(166, 179, 183)",businesscasual_images/7_0.webp
355,"(138, 127, 135)","(51, 65, 76)",businesscasual_images/7_1.webp
356,"(103, 107, 128)","(109, 115, 135)",businesscasual_images/7_2.webp
357,"(80, 85, 108)","(125, 141, 165)",businesscasual_images/7_3.webp
358,"(91, 96, 109)","(169, 111, 126)",businesscasual_images/7_4.webp
359,"(100, 85, 83)","(77, 71, 70)",businesscasual_images/7_5.webp
360,"(78, 74, 81)","(72, 68, 75)",businesscasual_images/7_6.webp
361,"(123, 114, 96)","(178, 150, 118)",businesscasual_images/7_7.webp
362,"(64, 65, 72)","(48, 48, 53)",businesscasual_images/7_9.webp
363,"(48, 50, 53)","(21, 24, 29)",businesscasual_images/7_10.webp
364,"(56, 55, 69)","(34, 45, 65)",businesscasual_images/7_11.webp
365,"(91, 75, 67)","(200, 197, 200)",businesscasual_images/7_12.webp
367,"(52, 51, 60)","(55, 56, 66)",businesscasual_images/7_14.webp
368,"(42, 82, 92)","(176, 169, 180)",businesscasual_images/7_15.webp
369,"(61, 71, 98)","(70, 77, 101)",businesscasual_images/7_16.webp
370,"(74, 78, 92)","(57, 57, 75)",businesscasual_images/7_17.webp
371,"(50, 52, 72)","(67, 68, 84)",businesscasual_images/7_18.webp
372,"(50, 54, 78)","(59, 58, 73)",businesscasual_images/7_19.webp
373,"(55, 50, 54)","(55, 53, 57)",businesscasual_images/7_20.webp
374,"(67, 74, 91)","(194, 179, 174)",businesscasual_images/7_21.webp
375,"(200, 192, 186)","(171, 156, 149)",businesscasual_images/7_22.webp
376,"(134, 111, 102)","(127, 110, 101)",businesscasual_images/7_23.webp
377,"(62, 74, 88)","(60, 75, 90)",businesscasual_images/7_24.webp
378,"(111, 115, 127)","(38, 46, 56)",businesscasual_images/7_25.webp
379,"(71, 75, 87)","(81, 63, 63)",businesscasual_images/7_26.webp
380,"(154, 141, 136)","(61, 57, 64)",businesscasual_images/7_27.webp
381,"(122, 105, 104)","(135, 116, 110)",businesscasual_images/7_28.webp
383,"(144, 111, 50)","(120, 88, 67)",businesscasual_images/7_30.webp
385,"(54, 54, 60)","(60, 60, 64)",businesscasual_images/7_32.webp
387,"(70, 64, 75)","(161, 135, 135)",businesscasual_images/7_34.webp
388,"(108, 115, 141)","(173, 157, 167)",businesscasual_images/7_35.webp
389,"(57, 63, 79)","(78, 86, 108)",businesscasual_images/7_36.webp
390,"(93, 96, 120)","(63, 65, 89)",businesscasual_images/7_37.webp
392,"(107, 99, 113)","(105, 111, 125)",businesscasual_images/7_39.webp
