,TOP_RGB,BOTTOM_RGB,path
354,"(51, 45, 47)","(39, 42, 48)",street_images/6_54.webp
355,"(166, 157, 159)","(149, 134, 137)",street_images/6_55.webp
356,"(176, 160, 148)","(191, 173, 159)",street_images/6_56.webp
357,"(147, 80, 87)","(93, 88, 85)",street_images/6_57.webp
358,"(43, 48, 55)","(161, 163, 177)",street_images/6_58.webp
359,"(117, 137, 161)","(50, 50, 48)",street_images/6_59.webp
360,"(196, 192, 193)","(59, 54, 54)",street_images/7_0.webp
361,"(124, 122, 128)","(84, 51, 59)",street_images/7_1.webp
362,"(76, 78, 84)","(61, 62, 65)",street_images/7_2.webp
363,"(89, 80, 79)","(34, 28, 26)",street_images/7_3.webp
365,"(151, 132, 128)","(161, 135, 121)",street_images/7_5.webp
366,"(95, 89, 88)","(139, 124, 117)",street_images/7_6.webp
367,"(80, 77, 68)","(44, 35, 31)",street_images/7_7.webp
368,"(109, 115, 126)","(63, 60, 67)",street_images/7_8.webp
369,"(154, 163, 171)","(92, 103, 105)",street_images/7_9.webp
370,"(100, 130, 130)","(126, 133, 124)",street_images/7_10.webp
371,"(146, 144, 139)","(117, 124, 129)",street_images/7_11.webp
372,"(148, 150, 160)","(130, 110, 111)",street_images/7_12.webp
373,"(96, 113, 132)","(149, 143, 141)",street_images/7_13.webp
375,"(57, 56, 63)","(15, 14, 16)",street_images/7_15.webp
377,"(230, 215, 202)","(14, 18, 22)",street_images/7_17.webp
378,"(106, 97, 96)","(180, 164, 153)",street_images/7_18.webp
379,"(49, 49, 57)","(88, 81, 76)",street_images/7_19.webp
380,"(127, 131, 129)","(145, 134, 125)",street_images/7_20.webp
381,"(213, 218, 221)","(143, 143, 147)",street_images/7_21.webp
382,"(146, 148, 156)","(94, 86, 79)",street_images/7_22.webp
383,"(202, 200, 211)","(77, 75, 72)",street_images/7_23.webp
384,"(181, 169, 170)","(188, 182, 200)",street_images/7_24.webp
385,"(52, 54, 62)","(58, 58, 65)",street_images/7_25.webp
386,"(121, 114, 114)","(72, 70, 74)",street_images/7_26.webp
389,"(165, 169, 169)","(66, 67, 73)",street_images/7_29.webp
390,"(87, 78, 81)","(115, 113, 117)",street_images/7_30.webp
391,"(186, 47, 50)","(57, 50, 46)",street_images/7_31.webp
392,"(83, 82, 82)","(88, 48, 42)",street_images/7_32.webp
393,"(167, 174, 164)","(162, 157, 154)",street_images/7_33.webp
394,"(134, 123, 115)","(92, 86, 83)",street_images/7_34.webp
395,"(173, 164, 175)","(127, 106, 105)",street_images/7_35.webp
396,"(49, 47, 54)","(144, 147, 170)",street_images/7_36.webp
397,"(142, 164, 198)","(157, 152, 161)",street_images/7_37.webp
399,"(173, 123, 147)","(140, 133, 140)",street_images/7_39.webp
400,"(93, 120, 157)","(51, 86, 139)",street_images/7_40.webp
401,"(212, 212, 227)","(152, 155, 155)",street_images/7_41.webp
402,"(94, 68, 91)","(53, 77, 106)",street_images/7_42.webp
403,"(58, 56, 55)","(120, 134, 150)",street_images/7_43.webp
404,"(49, 48, 40)","(22, 19, 23)",street_images/7_44.webp
405,"(55, 42, 36)","(191, 162, 144)",street_images/7_45.webp
407,"(75, 67, 71)","(208, 171, 173)",street_images/7_47.webp
408,"(137, 139, 140)","(86, 86, 87)",street_images/7_48.webp
409,"(134, 132, 148)","(112, 118, 129)",street_images/7_49.webp
410,"(148, 168, 211)","(143, 146, 161)",street_images/7_50.webp
411,"(88, 104, 96)","(152, 162, 191)",street_images/7_51.webp
412,"(120, 101, 94)","(124, 95, 73)",street_images/7_52.webp
413,"(229, 222, 220)","(161, 157, 154)",street_images/7_53.webp
414,"(51, 45, 47)","(39, 42, 48)",street_images/7_54.webp
415,"(166, 157, 159)","(149, 134, 137)",street_images/7_55.webp
416,"(176, 160, 148)","(191, 173, 159)",street_images/7_56.webp
417,"(147, 80, 87)","(93, 88, 85)",street_images/7_57.webp
418,"(43, 48, 55)","(161, 163, 177)",street_images/7_58.webp
419,"(117, 137, 161)","(50, 50, 48)",street_images/7_59.webp
420,"(196, 192, 193)","(59, 54, 54)",street_images/8_0.webp
421,"(124, 122, 128)","(84, 51, 59)",street_images/8_1.webp
422,"(76, 78, 84)","(61, 62, 65)",street_images/8_2.webp
423,"(89, 80, 79)","(34, 28, 26)",street_images/8_3.webp
425,"(151, 132, 128)","(161, 135, 121)",street_images/8_5.webp
426,"(95, 89, 88)","(139, 124, 117)",street_images/8_6.webp
427,"(80, 77, 68)","(44, 35, 31)",street_images/8_7.webp
428,"(109, 115, 126)","(63, 60, 67)",street_images/8_8.webp
429,"(154, 163, 171)","(92, 103, 105)",street_images/8_9.webp
430,"(100, 130, 130)","(126, 133, 124)",street_images/8_10.webp
431,"(146, 144, 139)","(117, 124, 129)",street_images/8_11.webp
432,"(148, 150, 160)","(130, 110, 111)",street_images/8_12.webp
433,"(96, 113, 132)","(149, 143, 141)",street_images/8_13.webp
435,"(57, 56, 63)","(15, 14, 16)",street_images/8_15.webp
437,"(230, 215, 202)","(14, 18, 22)",street_images/8_17.webp
438,"(106, 97, 96)","(180, 164, 153)",street_images/8_18.webp
439,"(49, 49, 57)","(88, 81, 76)",street_images/8_19.webp
440,"(127, 131, 129)","(145, 134, 125)",street_images/8_20.webp
441,"(213, 218, 221)","(143, 143, 147)",street_images/8_21.webp
442,"(146, 148, 156)","(94, 86, 79)",street_images/8_22.webp
443,"(202, 200, 211)","(77, 75, 72)",street_images/8_23.webp
444,"(181, 169, 170)","(188, 182, 200)",street_images/8_24.webp
445,"(52, 54, 62)","(58, 58, 65)",street_images/8_25.webp
446,"(121, 114, 114)","(72, 70, 74)",street_images/8_26.webp
449,"(165, 169, 169)","(66, 67, 73)",street_images/8_29.webp
450,"(87, 78, 81)","(115, 113, 117)",street_images/8_30.webp
451,"(186, 47, 50)","(57, 50, 46)",street_images/8_31.webp
452,"(83, 82, 82)","(88, 48, 42)",street_images/8_32.webp
453,"(167, 174, 164)","(162, 157, 154)",street_images/8_33.webp
454,"(134, 123, 115)","(92, 86, 83)",street_images/8_34.webp
455,"(173, 164, 175)","(127, 106, 105)",street_images/8_35.webp
456,"(49, 47, 54)","(144, 147, 170)",street_images/8_36.webp
457,"(142, 164, 198)","(157, 152, 161)",street_images/8_37.webp
459,"(173, 123, 147)","(140, 133, 140)",street_images/8_39.webp
460,"(93, 120, 157)","(51, 86, 139)",street_images/8_40.webp
461,"(212, 212, 227)","(152, 155, 155)",street_images/8_41.webp
462,"(94, 68, 91)","(53, 77, 106)",street_images/8_42.webp
463,"(58, 56, 55)","(120, 134, 150)",street_images/8_43.webp
464,"(49, 48, 40)","(22, 19, 23)",street_images/8_44.webp
465,"(55, 42, 36)","(191, 162, 144)",street_images/8_45.webp
467,"(75, 67, 71)","(208, 171, 173)",street_images/8_47.webp
468,"(137, 139, 140)","(86, 86, 87)",street_images/8_48.webp
469,"(134, 132, 148)","(112, 118, 129)",street_images/8_49.webp
470,"(148, 168, 211)","(143, 146, 161)",street_images/8_50.webp
471,"(88, 104, 96)","(152, 162, 191)",street_images/8_51.webp
472,"(120, 101, 94)","(124, 95, 73)",street_images/8_52.webp
473,"(229, 222, 220)","(161, 157, 154)",street_images/8_53.webp
474,"(51, 45, 47)","(39, 42, 48)",street_images/8_54.webp
475,"(166, 157, 159)","(149, 134, 137)",street_images/8_55.webp
476,"(176, 160, 148)","(191, 173, 159)",street_images/8_56.webp
477,"(147, 80, 87)","(93, 88, 85)",street_images/8_57.webp
478,"(43, 48, 55)","(161, 163, 177)",street_images/8_58.webp
479,"(117, 137, 161)","(50, 50, 48)",street_images/8_59.webp
480,"(196, 192, 193)","(59, 54, 54)",street_images/9_0.webp
481,"(124, 122, 128)","(84, 51, 59)",street_images/9_1.webp
482,"(76, 78, 84)","(61, 62, 65)",street_images/9_2.webp
483,"(89, 80, 79)","(34, 28, 26)",street_images/9_3.webp
485,"(151, 132, 128)","(161, 135, 121)",street_images/9_5.webp
486,"(95, 89, 88)","(139, 124, 117)",street_images/9_6.webp
487,"(80, 77, 68)","(44, 35, 31)",street_images/9_7.webp
488,"(109, 115, 126)","(63, 60, 67)",street_images/9_8.webp
489,"(154, 163, 171)","(92, 103, 105)",street_images/9_9.webp
490,"(100, 130, 130)","(126, 133, 124)",street_images/9_10.webp
491,"(146, 144, 139)","(117, 124, 129)",street_images/9_11.webp
492,"(148, 150, 160)","(130, 110, 111)",street_images/9_12.webp
493,"(96, 113, 132)","(149, 143, 141)",street_images/9_13.webp
495,"(57, 56, 63)","(15, 14, 16)",street_images/9_15.webp
497,"(230, 215, 202)","(14, 18, 22)",street_images/9_17.webp
498,"(106, 97, 96)","(180, 164, 153)",street_images/9_18.webp
499,"(49, 49, 57)","(88, 81, 76)",street_images/9_19.webp
500,"(127, 131, 129)","(145, 134, 125)",street_images/9_20.webp
501,"(213, 218, 221)","(143, 143, 147)",street_images/9_21.webp
502,"(146, 148, 156)","(94, 86, 79)",street_images/9_22.webp
503,"(202, 200, 211)","(77, 75, 72)",street_images/9_23.webp
504,"(181, 169, 170)","(188, 182, 200)",street_images/9_24.webp
505,"(52, 54, 62)","(58, 58, 65)",street_images/9_25.webp
506,"(121, 114, 114)","(72, 70, 74)",street_images/9_26.webp
509,"(165, 169, 169)","(66, 67, 73)",street_images/9_29.webp
510,"(87, 78, 81)","(115, 113, 117)",street_images/9_30.webp
511,"(186, 47, 50)","(57, 50, 46)",street_images/9_31.webp
512,"(83, 82, 82)","(88, 48, 42)",street_images/9_32.webp
513,"(167, 174, 164)","(162, 157, 154)",street_images/9_33.webp
514,"(134, 123, 115)","(92, 86, 83)",street_images/9_34.webp
515,"(173, 164, 175)","(127, 106, 105)",street_images/9_35.webp
516,"(49, 47, 54)","(144, 147, 170)",street_images/9_36.webp
517,"(142, 164, 198)","(157, 152, 161)",street_images/9_37.webp
519,"(173, 123, 147)","(140, 133, 140)",street_images/9_39.webp
520,"(93, 120, 157)","(51, 86, 139)",street_images/9_40.webp
521,"(212, 212, 227)","(152, 155, 155)",street_images/9_41.webp
522,"(94, 68, 91)","(53, 77, 106)",street_images/9_42.webp
523,"(58, 56, 55)","(120, 134, 150)",street_images/9_43.webp
524,"(49, 48, 40)","(22, 19, 23)",street_images/9_44.webp
525,"(55, 42, 36)","(191, 162, 144)",street_images/9_45.webp
527,"(75, 67, 71)","(208, 171, 173)",street_images/9_47.webp
528,"(137, 139, 140)","(86, 86, 87)",street_images/9_48.webp
529,"(134, 132, 148)","(112, 118, 129)",street_images/9_49.webp
530,"(148, 168, 211)","(143, 146, 161)",street_images/9_50.webp
531,"(88, 104, 96)","(152, 162, 191)",street_images/9_51.webp
532,"(120, 101, 94)","(124, 95, 73)",street_images/9_52.webp
533,"(229, 222, 220)","(161, 157, 154)",street_images/9_53.webp
534,"(51, 45, 47)","(39, 42, 48)",street_images/9_54.webp
535,"(166, 157, 159)","(149, 134, 137)",street_images/9_55.webp
536,"(176, 160, 148)","(191, 173, 159)",street_images/9_56.webp
537,"(147, 80, 87)","(93, 88, 85)",street_images/9_57.webp
538,"(43, 48, 55)","(161, 163, 177)",street_images/9_58.webp
539,"(117, 137, 161)","(50, 50, 48)",street_images/9_59.webp
540,"(196, 192, 193)","(59, 54, 54)",street_images/10_0.webp
541,"(124, 122, 128)","(84, 51, 59)",street_images/10_1.webp
542,"(76, 78, 84)","(61, 62, 65)",street_images/10_2.webp
543,"(89, 80, 79)","(34, 28, 26)",street_images/10_3.webp
545,"(151, 132, 128)","(161, 135, 121)",street_images/10_5.webp
546,"(95, 89, 88)","(139, 124, 117)",street_images/10_6.webp
547,"(80, 77, 68)","(44, 35, 31)",street_images/10_7.webp
548,"(109, 115, 126)","(63, 60, 67)",street_images/10_8.webp
549,"(154, 163, 171)","(92, 103, 105)",street_images/10_9.webp
550,"(100, 130, 130)","(126, 133, 124)",street_images/10_10.webp
551,"(146, 144, 139)","(117, 124, 129)",street_images/10_11.webp
