,street,TOP_RGB,BOTTOM_RGB,path
196,,"(97, 99, 106)","(39, 41, 44)",street_images/4_17.webp
197,,"(148, 133, 125)",,street_images/4_18.webp
198,,"(58, 62, 63)",,street_images/4_19.webp
199,,"(44, 60, 87)","(97, 101, 108)",street_images/4_20.webp
200,,"(176, 169, 168)","(118, 115, 115)",street_images/4_21.webp
201,,"(102, 100, 103)","(122, 115, 104)",street_images/4_22.webp
202,,"(169, 163, 171)","(95, 99, 102)",street_images/4_23.webp
203,,"(64, 66, 85)","(78, 92, 109)",street_images/4_24.webp
204,,"(44, 45, 51)","(40, 84, 114)",street_images/4_25.webp
205,,"(144, 136, 132)","(44, 44, 47)",street_images/4_26.webp
206,,"(70, 79, 107)",,street_images/4_27.webp
207,,"(50, 45, 44)","(174, 143, 131)",street_images/4_28.webp
208,,"(114, 97, 86)","(94, 80, 77)",street_images/4_29.webp
209,,"(118, 117, 124)","(70, 72, 75)",street_images/4_30.webp
210,,"(159, 71, 57)","(63, 61, 62)",street_images/4_31.webp
211,,"(69, 70, 79)","(35, 36, 42)",street_images/4_32.webp
212,,"(124, 122, 130)","(146, 136, 139)",street_images/4_33.webp
213,,"(115, 114, 119)","(44, 43, 48)",street_images/4_34.webp
214,,"(68, 62, 66)","(74, 66, 66)",street_images/4_35.webp
215,,"(165, 159, 171)","(97, 87, 91)",street_images/4_36.webp
216,,"(93, 101, 98)","(113, 134, 148)",street_images/4_37.webp
217,,"(45, 44, 49)","(72, 63, 58)",street_images/4_38.webp
218,,"(84, 92, 119)","(75, 80, 98)",street_images/4_39.webp
219,,"(54, 52, 55)","(51, 46, 46)",street_images/4_40.webp
220,,"(145, 114, 74)","(193, 193, 185)",street_images/4_41.webp
221,,"(37, 38, 41)","(78, 79, 74)",street_images/4_42.webp
222,,"(122, 126, 128)","(47, 50, 61)",street_images/4_43.webp
223,,"(48, 52, 55)","(89, 99, 94)",street_images/4_44.webp
224,,"(183, 182, 182)","(52, 68, 93)",street_images/4_45.webp
225,,"(22, 28, 34)","(99, 101, 95)",street_images/4_46.webp
226,,"(58, 58, 59)","(52, 50, 53)",street_images/4_47.webp
227,,"(105, 121, 153)","(65, 69, 78)",street_images/4_48.webp
228,,"(31, 32, 29)","(124, 116, 102)",street_images/4_49.webp
229,,"(73, 58, 49)","(104, 88, 80)",street_images/4_50.webp
230,,"(71, 102, 145)","(58, 82, 115)",street_images/4_51.webp
231,,"(128, 100, 119)","(106, 111, 101)",street_images/4_52.webp
232,,"(98, 88, 88)","(168, 153, 153)",street_images/4_53.webp
233,,"(81, 83, 88)","(94, 97, 96)",street_images/4_54.webp
234,,"(44, 70, 99)","(104, 100, 99)",street_images/4_55.webp
235,,"(125, 129, 130)","(58, 62, 70)",street_images/4_56.webp
236,,"(196, 200, 206)","(32, 33, 28)",street_images/4_57.webp
237,,"(231, 217, 203)",,street_images/4_58.webp
238,,"(63, 71, 90)","(73, 77, 92)",street_images/4_59.webp
239,,"(152, 146, 153)","(102, 104, 106)",street_images/5_0.webp
240,,"(124, 105, 95)","(48, 43, 42)",street_images/5_1.webp
241,,"(137, 108, 118)","(86, 83, 80)",street_images/5_2.webp
242,,"(94, 79, 78)","(105, 93, 93)",street_images/5_3.webp
243,,"(101, 103, 125)",,street_images/5_4.webp
244,,"(69, 72, 82)","(123, 140, 163)",street_images/5_5.webp
245,,"(113, 86, 88)","(52, 62, 73)",street_images/5_6.webp
246,,"(58, 68, 77)","(70, 69, 61)",street_images/5_7.webp
247,,"(119, 127, 129)","(121, 125, 132)",street_images/5_8.webp
248,,"(61, 59, 56)","(32, 35, 43)",street_images/5_9.webp
249,,"(73, 73, 90)","(174, 176, 185)",street_images/5_10.webp
250,,"(29, 27, 28)","(168, 153, 145)",street_images/5_11.webp
251,,"(78, 71, 70)","(60, 49, 46)",street_images/5_12.webp
252,,"(169, 165, 164)","(82, 103, 114)",street_images/5_13.webp
253,,"(77, 104, 95)","(120, 110, 114)",street_images/5_14.webp
254,,"(122, 88, 65)","(117, 95, 81)",street_images/5_15.webp
255,,"(41, 33, 30)","(93, 79, 76)",street_images/5_16.webp
256,,"(44, 40, 43)","(84, 80, 79)",street_images/5_17.webp
257,,"(113, 115, 125)","(149, 141, 150)",street_images/5_18.webp
258,,"(80, 64, 58)","(130, 121, 124)",street_images/5_19.webp
259,,"(42, 46, 54)","(77, 95, 120)",street_images/5_20.webp
260,,"(64, 59, 66)","(193, 170, 164)",street_images/5_21.webp
261,,"(98, 99, 114)","(106, 105, 126)",street_images/5_22.webp
262,,"(91, 93, 106)","(137, 135, 162)",street_images/5_23.webp
263,,"(75, 72, 77)",,street_images/5_24.webp
264,,"(115, 104, 114)","(108, 109, 121)",street_images/5_25.webp
265,,"(25, 30, 37)","(78, 80, 85)",street_images/5_26.webp
266,,"(128, 122, 136)","(101, 90, 91)",street_images/5_27.webp
267,,"(126, 137, 164)","(107, 144, 187)",street_images/5_28.webp
268,,"(45, 41, 43)","(37, 31, 32)",street_images/5_29.webp
269,,"(49, 122, 208)","(66, 65, 83)",street_images/5_30.webp
270,,"(55, 62, 76)","(93, 80, 83)",street_images/5_31.webp
271,,"(66, 63, 78)","(113, 116, 122)",street_images/5_33.webp
272,,"(104, 101, 116)","(98, 93, 79)",street_images/5_34.webp
273,,"(31, 28, 31)",,street_images/5_35.webp
274,,"(111, 128, 148)","(144, 139, 133)",street_images/5_36.webp
275,,"(109, 93, 84)","(62, 58, 61)",street_images/5_37.webp
276,,"(105, 90, 89)","(53, 53, 55)",street_images/5_38.webp
277,,"(43, 38, 37)","(123, 104, 98)",street_images/5_39.webp
278,,"(55, 52, 66)","(116, 104, 113)",street_images/5_40.webp
279,,"(75, 76, 85)","(134, 125, 121)",street_images/5_41.webp
280,,"(86, 82, 84)","(30, 34, 45)",street_images/5_42.webp
281,,"(66, 70, 88)","(82, 92, 111)",street_images/5_43.webp
282,,"(95, 100, 114)","(197, 183, 193)",street_images/5_44.webp
283,,"(62, 44, 56)","(64, 69, 78)",street_images/5_45.webp
284,,"(81, 77, 86)","(114, 107, 110)",street_images/5_46.webp
285,,"(70, 24, 34)","(140, 131, 122)",street_images/5_47.webp
286,,"(64, 65, 74)","(84, 80, 87)",street_images/5_48.webp
287,,"(43, 43, 47)","(55, 52, 49)",street_images/5_49.webp
288,,"(69, 77, 93)","(29, 39, 54)",street_images/5_50.webp
289,,"(127, 144, 180)","(76, 101, 133)",street_images/5_51.webp
290,,"(88, 99, 116)","(162, 163, 174)",street_images/5_52.webp
291,,"(123, 126, 139)","(69, 67, 71)",street_images/5_53.webp
292,,"(40, 38, 42)","(39, 40, 46)",street_images/5_54.webp
293,,"(86, 76, 79)","(70, 65, 67)",street_images/5_55.webp
294,,"(93, 95, 101)","(77, 86, 94)",street_images/5_56.webp
295,,"(154, 171, 193)","(61, 71, 89)",street_images/5_57.webp
296,,"(112, 104, 95)","(53, 59, 75)",street_images/5_58.webp
297,,"(35, 35, 39)","(50, 53, 47)",street_images/5_59.webp
298,,"(75, 69, 67)","(123, 106, 97)",street_images/6_0.webp
299,,"(55, 55, 57)","(82, 77, 75)",street_images/6_1.webp
300,,"(45, 56, 81)","(61, 52, 51)",street_images/6_2.webp
301,,"(224, 225, 230)","(198, 199, 214)",street_images/6_3.webp
302,,"(70, 63, 59)","(171, 158, 148)",street_images/6_4.webp
303,,"(55, 55, 60)","(165, 170, 179)",street_images/6_5.webp
304,,"(69, 64, 63)","(119, 102, 92)",street_images/6_6.webp
305,,"(83, 87, 97)","(145, 134, 126)",street_images/6_7.webp
306,,"(72, 68, 76)","(96, 101, 97)",street_images/6_8.webp
307,,"(137, 135, 125)","(60, 55, 55)",street_images/6_9.webp
308,,"(81, 72, 68)","(105, 90, 77)",street_images/6_10.webp
309,,"(90, 91, 100)","(105, 96, 97)",street_images/6_11.webp
310,,"(64, 49, 48)","(96, 75, 64)",street_images/6_12.webp
311,,"(73, 63, 61)","(44, 44, 46)",street_images/6_13.webp
312,,"(61, 63, 63)","(70, 75, 82)",street_images/6_14.webp
313,,"(102, 96, 95)","(72, 69, 72)",street_images/6_15.webp
314,,"(65, 65, 66)","(137, 123, 97)",street_images/6_16.webp
315,,"(151, 159, 174)","(161, 162, 171)",street_images/6_17.webp
316,,"(117, 111, 106)","(78, 25, 31)",street_images/6_18.webp
317,,"(156, 154, 164)","(33, 37, 45)",street_images/6_19.webp
318,,"(61, 59, 61)","(63, 61, 59)",street_images/6_20.webp
319,,"(96, 96, 98)","(66, 64, 68)",street_images/6_21.webp
320,,"(80, 91, 104)","(46, 55, 67)",street_images/6_22.webp
321,,"(135, 127, 132)","(88, 87, 93)",street_images/6_23.webp
322,,"(75, 85, 90)","(161, 153, 111)",street_images/6_24.webp
323,,"(40, 43, 49)","(84, 79, 83)",street_images/6_25.webp
324,,"(42, 35, 35)","(66, 60, 61)",street_images/6_26.webp
325,,"(45, 42, 39)","(215, 201, 189)",street_images/6_27.webp
326,,"(106, 74, 55)","(107, 97, 90)",street_images/6_28.webp
327,,"(47, 51, 62)","(104, 102, 106)",street_images/6_29.webp
328,,"(103, 105, 122)","(123, 118, 111)",street_images/6_30.webp
329,,"(138, 120, 112)","(202, 194, 172)",street_images/6_31.webp
330,,"(53, 50, 55)","(63, 60, 59)",street_images/6_32.webp
331,,"(45, 44, 48)","(51, 50, 55)",street_images/6_33.webp
332,,"(62, 56, 65)",,street_images/6_34.webp
333,,"(97, 90, 92)","(46, 42, 40)",street_images/6_35.webp
334,,"(203, 196, 193)","(137, 124, 117)",street_images/6_36.webp
335,,"(72, 71, 82)","(71, 70, 82)",street_images/6_37.webp
336,,"(56, 52, 50)","(130, 125, 122)",street_images/6_38.webp
337,,"(69, 64, 63)","(119, 102, 92)",street_images/6_39.webp
338,,"(169, 77, 92)","(46, 46, 52)",street_images/6_40.webp
339,,"(49, 51, 63)","(79, 69, 67)",street_images/6_41.webp
340,,"(62, 60, 60)","(74, 72, 69)",street_images/6_42.webp
341,,"(72, 63, 64)",,street_images/6_43.webp
342,,"(134, 131, 135)","(59, 58, 66)",street_images/6_44.webp
343,,"(61, 58, 59)","(109, 99, 95)",street_images/6_45.webp
344,,"(44, 48, 67)","(51, 47, 50)",street_images/6_46.webp
345,,"(48, 47, 53)","(134, 112, 87)",street_images/6_47.webp
346,,"(98, 87, 76)","(32, 31, 32)",street_images/6_48.webp
347,,"(140, 131, 125)","(176, 140, 121)",street_images/6_49.webp
348,,"(71, 67, 62)","(121, 107, 92)",street_images/6_50.webp
349,,"(159, 152, 145)","(69, 67, 72)",street_images/6_51.webp
350,,"(61, 64, 63)","(89, 84, 74)",street_images/6_52.webp
351,,"(30, 31, 30)","(67, 72, 76)",street_images/6_53.webp
352,,"(81, 82, 96)","(85, 84, 90)",street_images/6_54.webp
353,,"(211, 200, 180)","(131, 130, 123)",street_images/6_55.webp
354,,"(72, 73, 63)","(79, 86, 74)",street_images/6_56.webp
355,,"(199, 168, 158)",,street_images/6_57.webp
356,,"(105, 108, 99)","(151, 152, 153)",street_images/6_58.webp
357,,"(55, 55, 63)","(145, 149, 156)",street_images/6_59.webp
358,,"(94, 91, 92)","(81, 75, 77)",street_images/7_0.webp
359,,"(58, 61, 65)","(98, 96, 95)",street_images/7_1.webp
360,,"(66, 48, 51)","(56, 56, 59)",street_images/7_2.webp
361,,"(99, 109, 112)","(147, 152, 157)",street_images/7_3.webp
362,,"(61, 55, 54)","(75, 76, 79)",street_images/7_4.webp
363,,"(181, 176, 176)","(34, 31, 33)",street_images/7_5.webp
364,,"(56, 57, 63)","(52, 80, 92)",street_images/7_6.webp
365,,"(157, 154, 148)","(125, 111, 109)",street_images/7_7.webp
366,,"(134, 135, 148)","(119, 122, 139)",street_images/7_8.webp
367,,"(57, 49, 53)","(92, 89, 93)",street_images/7_9.webp
368,,"(152, 139, 127)","(119, 114, 111)",street_images/7_10.webp
369,,"(107, 109, 115)","(67, 69, 76)",street_images/7_11.webp
370,,"(184, 172, 165)","(117, 139, 156)",street_images/7_12.webp
371,,"(51, 68, 103)","(35, 36, 45)",street_images/7_13.webp
372,,"(50, 54, 70)","(89, 83, 79)",street_images/7_14.webp
373,,"(103, 92, 78)",,street_images/7_15.webp
374,,"(141, 149, 151)","(125, 168, 153)",street_images/7_16.webp
375,,"(140, 148, 157)",,street_images/7_17.webp
376,,"(101, 103, 112)","(101, 103, 108)",street_images/7_18.webp
377,,"(62, 67, 82)","(102, 110, 118)",street_images/7_19.webp
378,,"(92, 90, 90)","(98, 74, 105)",street_images/7_20.webp
379,,"(157, 143, 132)","(143, 132, 127)",street_images/7_21.webp
380,,"(31, 26, 26)","(136, 129, 130)",street_images/7_22.webp
381,,"(118, 111, 112)","(97, 93, 93)",street_images/7_23.webp
382,,"(175, 177, 180)","(70, 84, 99)",street_images/7_24.webp
383,,"(87, 91, 97)","(88, 77, 76)",street_images/7_25.webp
384,,"(122, 113, 93)","(62, 81, 104)",street_images/7_26.webp
385,,"(87, 80, 64)",,street_images/7_27.webp
386,,"(30, 28, 23)","(47, 46, 40)",street_images/7_28.webp
387,,"(91, 87, 80)","(77, 68, 61)",street_images/7_29.webp
388,,"(207, 198, 194)",,street_images/7_30.webp
389,,"(58, 55, 55)","(44, 40, 40)",street_images/7_31.webp
390,,"(118, 101, 91)","(116, 106, 98)",street_images/7_32.webp
391,,"(90, 103, 100)","(58, 61, 63)",street_images/7_33.webp
392,,"(67, 66, 69)","(114, 116, 121)",street_images/7_34.webp
393,,"(69, 50, 39)","(64, 43, 31)",street_images/7_35.webp
394,,"(150, 133, 122)",,street_images/7_36.webp
395,,"(54, 40, 36)","(52, 48, 48)",street_images/7_37.webp
396,,"(43, 50, 62)",,street_images/7_38.webp
397,,"(149, 143, 140)","(91, 87, 87)",street_images/7_39.webp
398,,"(133, 131, 140)","(92, 89, 96)",street_images/7_40.webp
399,,"(48, 42, 36)","(16, 14, 12)",street_images/7_41.webp
400,,"(152, 127, 122)",,street_images/7_42.webp
401,,"(60, 59, 62)","(73, 64, 71)",street_images/7_43.webp
402,,"(67, 66, 78)","(188, 185, 192)",street_images/7_44.webp
403,,"(193, 167, 135)","(171, 145, 126)",street_images/7_45.webp
404,,"(42, 40, 40)","(30, 30, 31)",street_images/7_46.webp
405,,"(18, 57, 140)","(52, 54, 59)",street_images/7_47.webp
