,TOP_RGB,BOTTOM_RGB,path
305,"(76, 66, 67)","(114, 95, 89)",chic_images/6_10.webp
306,"(167, 176, 210)","(124, 123, 133)",chic_images/6_11.webp
308,"(94, 87, 85)","(163, 160, 174)",chic_images/6_13.webp
309,"(103, 98, 108)","(47, 51, 59)",chic_images/6_14.webp
313,"(198, 192, 194)","(150, 146, 151)",chic_images/6_19.webp
314,"(94, 88, 92)","(195, 188, 190)",chic_images/6_20.webp
315,"(66, 70, 85)","(91, 71, 65)",chic_images/6_21.webp
316,"(52, 52, 56)","(66, 58, 58)",chic_images/6_22.webp
317,"(101, 101, 119)","(123, 117, 115)",chic_images/6_23.webp
318,"(45, 53, 69)","(137, 124, 129)",chic_images/6_24.webp
320,"(100, 101, 115)","(113, 103, 109)",chic_images/6_26.webp
321,"(148, 130, 119)","(79, 72, 72)",chic_images/6_27.webp
322,"(93, 99, 115)","(82, 82, 81)",chic_images/6_28.webp
323,"(189, 187, 197)","(204, 204, 216)",chic_images/6_29.webp
324,"(186, 183, 208)","(70, 74, 81)",chic_images/6_30.webp
325,"(71, 76, 85)","(110, 126, 150)",chic_images/6_31.webp
326,"(105, 129, 168)","(174, 167, 174)",chic_images/6_32.webp
327,"(46, 51, 65)","(85, 88, 107)",chic_images/6_33.webp
328,"(55, 61, 77)","(150, 159, 188)",chic_images/6_34.webp
329,"(169, 176, 189)","(80, 91, 106)",chic_images/6_35.webp
330,"(142, 154, 172)","(105, 114, 133)",chic_images/6_36.webp
331,"(72, 89, 131)","(85, 98, 134)",chic_images/6_37.webp
332,"(83, 91, 103)","(52, 70, 93)",chic_images/6_38.webp
333,"(114, 106, 117)","(114, 110, 121)",chic_images/6_39.webp
334,"(61, 62, 75)","(127, 113, 120)",chic_images/6_40.webp
335,"(162, 176, 206)","(120, 156, 188)",chic_images/6_41.webp
336,"(81, 83, 85)","(77, 73, 78)",chic_images/6_42.webp
337,"(100, 96, 103)","(114, 116, 134)",chic_images/6_43.webp
338,"(162, 168, 179)","(125, 123, 129)",chic_images/6_44.webp
339,"(39, 36, 38)","(33, 27, 29)",chic_images/6_45.webp
340,"(104, 99, 96)","(50, 49, 53)",chic_images/6_46.webp
341,"(91, 86, 98)","(67, 66, 71)",chic_images/6_47.webp
342,"(126, 134, 148)","(176, 169, 176)",chic_images/6_48.webp
343,"(92, 99, 116)","(153, 137, 144)",chic_images/6_49.webp
344,"(122, 139, 178)","(148, 128, 123)",chic_images/6_50.webp
345,"(61, 58, 60)","(62, 58, 59)",chic_images/6_51.webp
346,"(29, 33, 39)","(80, 82, 89)",chic_images/6_52.webp
347,"(134, 135, 150)","(54, 59, 69)",chic_images/6_53.webp
348,"(140, 145, 169)","(69, 78, 95)",chic_images/6_54.webp
349,"(61, 64, 66)","(131, 116, 97)",chic_images/6_55.webp
350,"(99, 103, 115)","(206, 134, 98)",chic_images/6_56.webp
351,"(151, 138, 59)","(163, 141, 137)",chic_images/6_57.webp
352,"(61, 66, 83)","(126, 151, 188)",chic_images/6_58.webp
353,"(107, 58, 83)","(98, 98, 115)",chic_images/6_59.webp
354,"(177, 173, 184)","(187, 168, 171)",chic_images/7_0.webp
355,"(44, 56, 77)","(147, 138, 155)",chic_images/7_1.webp
356,"(136, 119, 107)","(68, 65, 65)",chic_images/7_2.webp
357,"(157, 150, 157)","(131, 124, 128)",chic_images/7_3.webp
358,"(98, 90, 101)","(43, 53, 74)",chic_images/7_4.webp
359,"(65, 72, 90)","(65, 71, 93)",chic_images/7_5.webp
360,"(194, 195, 224)","(179, 176, 178)",chic_images/7_6.webp
361,"(173, 150, 153)","(194, 188, 196)",chic_images/7_7.webp
362,"(171, 176, 180)","(53, 55, 60)",chic_images/7_8.webp
364,"(76, 66, 67)","(114, 95, 89)",chic_images/7_10.webp
365,"(167, 176, 210)","(124, 123, 133)",chic_images/7_11.webp
367,"(94, 87, 85)","(163, 160, 174)",chic_images/7_13.webp
368,"(103, 98, 108)","(47, 51, 59)",chic_images/7_14.webp
372,"(198, 192, 194)","(150, 146, 151)",chic_images/7_19.webp
373,"(94, 88, 92)","(195, 188, 190)",chic_images/7_20.webp
374,"(66, 70, 85)","(91, 71, 65)",chic_images/7_21.webp
375,"(52, 52, 56)","(66, 58, 58)",chic_images/7_22.webp
376,"(101, 101, 119)","(123, 117, 115)",chic_images/7_23.webp
377,"(45, 53, 69)","(137, 124, 129)",chic_images/7_24.webp
379,"(100, 101, 115)","(113, 103, 109)",chic_images/7_26.webp
380,"(148, 130, 119)","(79, 72, 72)",chic_images/7_27.webp
381,"(93, 99, 115)","(82, 82, 81)",chic_images/7_28.webp
382,"(189, 187, 197)","(204, 204, 216)",chic_images/7_29.webp
383,"(186, 183, 208)","(70, 74, 81)",chic_images/7_30.webp
384,"(71, 76, 85)","(110, 126, 150)",chic_images/7_31.webp
385,"(105, 129, 168)","(174, 167, 174)",chic_images/7_32.webp
386,"(46, 51, 65)","(85, 88, 107)",chic_images/7_33.webp
387,"(55, 61, 77)","(150, 159, 188)",chic_images/7_34.webp
388,"(169, 176, 189)","(80, 91, 106)",chic_images/7_35.webp
389,"(142, 154, 172)","(105, 114, 133)",chic_images/7_36.webp
390,"(72, 89, 131)","(85, 98, 134)",chic_images/7_37.webp
391,"(83, 91, 103)","(52, 70, 93)",chic_images/7_38.webp
392,"(114, 106, 117)","(114, 110, 121)",chic_images/7_39.webp
393,"(61, 62, 75)","(127, 113, 120)",chic_images/7_40.webp
394,"(162, 176, 206)","(120, 156, 188)",chic_images/7_41.webp
395,"(81, 83, 85)","(77, 73, 78)",chic_images/7_42.webp
396,"(100, 96, 103)","(114, 116, 134)",chic_images/7_43.webp
397,"(162, 168, 179)","(125, 123, 129)",chic_images/7_44.webp
398,"(39, 36, 38)","(33, 27, 29)",chic_images/7_45.webp
399,"(104, 99, 96)","(50, 49, 53)",chic_images/7_46.webp
400,"(91, 86, 98)","(67, 66, 71)",chic_images/7_47.webp
401,"(126, 134, 148)","(176, 169, 176)",chic_images/7_48.webp
402,"(92, 99, 116)","(153, 137, 144)",chic_images/7_49.webp
403,"(122, 139, 178)","(148, 128, 123)",chic_images/7_50.webp
404,"(61, 58, 60)","(62, 58, 59)",chic_images/7_51.webp
405,"(29, 33, 39)","(80, 82, 89)",chic_images/7_52.webp
406,"(134, 135, 150)","(54, 59, 69)",chic_images/7_53.webp
407,"(140, 145, 169)","(69, 78, 95)",chic_images/7_54.webp
408,"(61, 64, 66)","(131, 116, 97)",chic_images/7_55.webp
409,"(99, 103, 115)","(206, 134, 98)",chic_images/7_56.webp
410,"(151, 138, 59)","(163, 141, 137)",chic_images/7_57.webp
411,"(61, 66, 83)","(126, 151, 188)",chic_images/7_58.webp
412,"(107, 58, 83)","(98, 98, 115)",chic_images/7_59.webp
413,"(177, 173, 184)","(187, 168, 171)",chic_images/8_0.webp
414,"(44, 56, 77)","(147, 138, 155)",chic_images/8_1.webp
415,"(136, 119, 107)","(68, 65, 65)",chic_images/8_2.webp
416,"(157, 150, 157)","(131, 124, 128)",chic_images/8_3.webp
417,"(98, 90, 101)","(43, 53, 74)",chic_images/8_4.webp
418,"(65, 72, 90)","(65, 71, 93)",chic_images/8_5.webp
419,"(194, 195, 224)","(179, 176, 178)",chic_images/8_6.webp
420,"(173, 150, 153)","(194, 188, 196)",chic_images/8_7.webp
421,"(171, 176, 180)","(53, 55, 60)",chic_images/8_8.webp
423,"(76, 66, 67)","(114, 95, 89)",chic_images/8_10.webp
424,"(167, 176, 210)","(124, 123, 133)",chic_images/8_11.webp
426,"(94, 87, 85)","(163, 160, 174)",chic_images/8_13.webp
427,"(103, 98, 108)","(47, 51, 59)",chic_images/8_14.webp
431,"(198, 192, 194)","(150, 146, 151)",chic_images/8_19.webp
432,"(94, 88, 92)","(195, 188, 190)",chic_images/8_20.webp
433,"(66, 70, 85)","(91, 71, 65)",chic_images/8_21.webp
434,"(52, 52, 56)","(66, 58, 58)",chic_images/8_22.webp
435,"(101, 101, 119)","(123, 117, 115)",chic_images/8_23.webp
436,"(45, 53, 69)","(137, 124, 129)",chic_images/8_24.webp
438,"(100, 101, 115)","(113, 103, 109)",chic_images/8_26.webp
439,"(148, 130, 119)","(79, 72, 72)",chic_images/8_27.webp
440,"(93, 99, 115)","(82, 82, 81)",chic_images/8_28.webp
441,"(189, 187, 197)","(204, 204, 216)",chic_images/8_29.webp
442,"(186, 183, 208)","(70, 74, 81)",chic_images/8_30.webp
443,"(71, 76, 85)","(110, 126, 150)",chic_images/8_31.webp
444,"(105, 129, 168)","(174, 167, 174)",chic_images/8_32.webp
445,"(46, 51, 65)","(85, 88, 107)",chic_images/8_33.webp
446,"(55, 61, 77)","(150, 159, 188)",chic_images/8_34.webp
447,"(169, 176, 189)","(80, 91, 106)",chic_images/8_35.webp
448,"(142, 154, 172)","(105, 114, 133)",chic_images/8_36.webp
449,"(72, 89, 131)","(85, 98, 134)",chic_images/8_37.webp
450,"(83, 91, 103)","(52, 70, 93)",chic_images/8_38.webp
451,"(114, 106, 117)","(114, 110, 121)",chic_images/8_39.webp
452,"(61, 62, 75)","(127, 113, 120)",chic_images/8_40.webp
453,"(162, 176, 206)","(120, 156, 188)",chic_images/8_41.webp
454,"(81, 83, 85)","(77, 73, 78)",chic_images/8_42.webp
455,"(100, 96, 103)","(114, 116, 134)",chic_images/8_43.webp
456,"(162, 168, 179)","(125, 123, 129)",chic_images/8_44.webp
457,"(39, 36, 38)","(33, 27, 29)",chic_images/8_45.webp
458,"(104, 99, 96)","(50, 49, 53)",chic_images/8_46.webp
459,"(91, 86, 98)","(67, 66, 71)",chic_images/8_47.webp
460,"(126, 134, 148)","(176, 169, 176)",chic_images/8_48.webp
461,"(92, 99, 116)","(153, 137, 144)",chic_images/8_49.webp
462,"(122, 139, 178)","(148, 128, 123)",chic_images/8_50.webp
463,"(61, 58, 60)","(62, 58, 59)",chic_images/8_51.webp
464,"(29, 33, 39)","(80, 82, 89)",chic_images/8_52.webp
465,"(134, 135, 150)","(54, 59, 69)",chic_images/8_53.webp
466,"(140, 145, 169)","(69, 78, 95)",chic_images/8_54.webp
467,"(61, 64, 66)","(131, 116, 97)",chic_images/8_55.webp
468,"(99, 103, 115)","(206, 134, 98)",chic_images/8_56.webp
469,"(151, 138, 59)","(163, 141, 137)",chic_images/8_57.webp
470,"(61, 66, 83)","(126, 151, 188)",chic_images/8_58.webp
471,"(107, 58, 83)","(98, 98, 115)",chic_images/8_59.webp
472,"(177, 173, 184)","(187, 168, 171)",chic_images/9_0.webp
473,"(44, 56, 77)","(147, 138, 155)",chic_images/9_1.webp
474,"(136, 119, 107)","(68, 65, 65)",chic_images/9_2.webp
475,"(157, 150, 157)","(131, 124, 128)",chic_images/9_3.webp
476,"(98, 90, 101)","(43, 53, 74)",chic_images/9_4.webp
477,"(65, 72, 90)","(65, 71, 93)",chic_images/9_5.webp
478,"(194, 195, 224)","(179, 176, 178)",chic_images/9_6.webp
479,"(173, 150, 153)","(194, 188, 196)",chic_images/9_7.webp
480,"(171, 176, 180)","(53, 55, 60)",chic_images/9_8.webp
482,"(76, 66, 67)","(114, 95, 89)",chic_images/9_10.webp
483,"(167, 176, 210)","(124, 123, 133)",chic_images/9_11.webp
485,"(94, 87, 85)","(163, 160, 174)",chic_images/9_13.webp
486,"(103, 98, 108)","(47, 51, 59)",chic_images/9_14.webp
490,"(198, 192, 194)","(150, 146, 151)",chic_images/9_19.webp
491,"(94, 88, 92)","(195, 188, 190)",chic_images/9_20.webp
492,"(66, 70, 85)","(91, 71, 65)",chic_images/9_21.webp
493,"(52, 52, 56)","(66, 58, 58)",chic_images/9_22.webp
494,"(101, 101, 119)","(123, 117, 115)",chic_images/9_23.webp
495,"(45, 53, 69)","(137, 124, 129)",chic_images/9_24.webp
497,"(100, 101, 115)","(113, 103, 109)",chic_images/9_26.webp
498,"(148, 130, 119)","(79, 72, 72)",chic_images/9_27.webp
499,"(93, 99, 115)","(82, 82, 81)",chic_images/9_28.webp
500,"(189, 187, 197)","(204, 204, 216)",chic_images/9_29.webp
501,"(186, 183, 208)","(70, 74, 81)",chic_images/9_30.webp
502,"(71, 76, 85)","(110, 126, 150)",chic_images/9_31.webp
503,"(105, 129, 168)","(174, 167, 174)",chic_images/9_32.webp
504,"(46, 51, 65)","(85, 88, 107)",chic_images/9_33.webp
505,"(55, 61, 77)","(150, 159, 188)",chic_images/9_34.webp
506,"(169, 176, 189)","(80, 91, 106)",chic_images/9_35.webp
507,"(142, 154, 172)","(105, 114, 133)",chic_images/9_36.webp
508,"(72, 89, 131)","(85, 98, 134)",chic_images/9_37.webp
509,"(83, 91, 103)","(52, 70, 93)",chic_images/9_38.webp
510,"(114, 106, 117)","(114, 110, 121)",chic_images/9_39.webp
511,"(61, 62, 75)","(127, 113, 120)",chic_images/9_40.webp
512,"(162, 176, 206)","(120, 156, 188)",chic_images/9_41.webp
513,"(81, 83, 85)","(77, 73, 78)",chic_images/9_42.webp
514,"(100, 96, 103)","(114, 116, 134)",chic_images/9_43.webp
515,"(162, 168, 179)","(125, 123, 129)",chic_images/9_44.webp
516,"(39, 36, 38)","(33, 27, 29)",chic_images/9_45.webp
517,"(104, 99, 96)","(50, 49, 53)",chic_images/9_46.webp
518,"(91, 86, 98)","(67, 66, 71)",chic_images/9_47.webp
519,"(126, 134, 148)","(176, 169, 176)",chic_images/9_48.webp
520,"(92, 99, 116)","(153, 137, 144)",chic_images/9_49.webp
521,"(122, 139, 178)","(148, 128, 123)",chic_images/9_50.webp
522,"(61, 58, 60)","(62, 58, 59)",chic_images/9_51.webp
523,"(29, 33, 39)","(80, 82, 89)",chic_images/9_52.webp
524,"(134, 135, 150)","(54, 59, 69)",chic_images/9_53.webp
525,"(140, 145, 169)","(69, 78, 95)",chic_images/9_54.webp
526,"(61, 64, 66)","(131, 116, 97)",chic_images/9_55.webp
527,"(99, 103, 115)","(206, 134, 98)",chic_images/9_56.webp
528,"(151, 138, 59)","(163, 141, 137)",chic_images/9_57.webp
529,"(61, 66, 83)","(126, 151, 188)",chic_images/9_58.webp
530,"(107, 58, 83)","(98, 98, 115)",chic_images/9_59.webp
531,"(177, 173, 184)","(187, 168, 171)",chic_images/10_0.webp
532,"(44, 56, 77)","(147, 138, 155)",chic_images/10_1.webp
533,"(136, 119, 107)","(68, 65, 65)",chic_images/10_2.webp
534,"(157, 150, 157)","(131, 124, 128)",chic_images/10_3.webp
535,"(98, 90, 101)","(43, 53, 74)",chic_images/10_4.webp
536,"(65, 72, 90)","(65, 71, 93)",chic_images/10_5.webp
537,"(194, 195, 224)","(179, 176, 178)",chic_images/10_6.webp
538,"(173, 150, 153)","(194, 188, 196)",chic_images/10_7.webp
539,"(171, 176, 180)","(53, 55, 60)",chic_images/10_8.webp
541,"(76, 66, 67)","(114, 95, 89)",chic_images/10_10.webp
542,"(167, 176, 210)","(124, 123, 133)",chic_images/10_11.webp
544,"(94, 87, 85)","(163, 160, 174)",chic_images/10_13.webp
545,"(103, 98, 108)","(47, 51, 59)",chic_images/10_14.webp
549,"(198, 192, 194)","(150, 146, 151)",chic_images/10_19.webp
550,"(94, 88, 92)","(195, 188, 190)",chic_images/10_20.webp
551,"(66, 70, 85)","(91, 71, 65)",chic_images/10_21.webp
552,"(52, 52, 56)","(66, 58, 58)",chic_images/10_22.webp
553,"(101, 101, 119)","(123, 117, 115)",chic_images/10_23.webp
554,"(45, 53, 69)","(137, 124, 129)",chic_images/10_24.webp
