,TOP_RGB,BOTTOM_RGB,path
301,"(93, 95, 107)","(101, 103, 118)",amecaji_images/6_6.webp
302,"(91, 114, 143)","(135, 159, 186)",amecaji_images/6_7.webp
303,"(82, 107, 147)","(150, 158, 186)",amecaji_images/6_8.webp
304,"(94, 70, 56)","(55, 59, 69)",amecaji_images/6_9.webp
305,"(147, 150, 149)","(75, 74, 75)",amecaji_images/6_10.webp
306,"(40, 43, 48)","(53, 59, 75)",amecaji_images/6_11.webp
307,"(49, 56, 68)","(59, 55, 55)",amecaji_images/6_12.webp
308,"(75, 78, 95)","(85, 94, 113)",amecaji_images/6_13.webp
309,"(46, 47, 49)","(152, 149, 148)",amecaji_images/6_14.webp
310,"(111, 118, 152)","(94, 84, 90)",amecaji_images/6_15.webp
311,"(90, 87, 81)","(53, 76, 102)",amecaji_images/6_16.webp
312,"(131, 124, 115)","(159, 151, 140)",amecaji_images/6_17.webp
313,"(34, 34, 37)","(52, 59, 54)",amecaji_images/6_18.webp
314,"(111, 109, 117)","(113, 125, 128)",amecaji_images/6_19.webp
315,"(48, 59, 91)","(86, 81, 93)",amecaji_images/6_20.webp
316,"(85, 77, 74)","(99, 81, 86)",amecaji_images/6_21.webp
317,"(90, 52, 66)","(64, 59, 72)",amecaji_images/6_22.webp
318,"(117, 95, 98)","(125, 121, 133)",amecaji_images/6_23.webp
319,"(70, 80, 105)","(81, 92, 114)",amecaji_images/6_24.webp
320,"(63, 65, 74)","(125, 129, 133)",amecaji_images/6_25.webp
321,"(67, 60, 59)","(65, 75, 93)",amecaji_images/6_26.webp
322,"(118, 140, 169)","(122, 135, 162)",amecaji_images/6_27.webp
323,"(129, 117, 107)","(96, 92, 84)",amecaji_images/6_28.webp
325,"(60, 87, 131)","(89, 136, 179)",amecaji_images/6_30.webp
326,"(61, 60, 54)","(163, 131, 96)",amecaji_images/6_31.webp
327,"(99, 102, 91)","(107, 97, 88)",amecaji_images/6_32.webp
328,"(21, 45, 76)","(135, 105, 85)",amecaji_images/6_34.webp
329,"(76, 81, 94)","(68, 74, 88)",amecaji_images/6_35.webp
330,"(80, 84, 105)","(49, 52, 69)",amecaji_images/6_36.webp
331,"(39, 38, 41)","(30, 30, 33)",amecaji_images/6_37.webp
332,"(52, 56, 62)","(66, 66, 71)",amecaji_images/6_38.webp
333,"(60, 70, 68)","(46, 52, 54)",amecaji_images/6_39.webp
334,"(114, 76, 48)","(143, 114, 94)",amecaji_images/6_40.webp
335,"(111, 101, 97)","(174, 153, 132)",amecaji_images/6_41.webp
336,"(46, 67, 96)","(68, 74, 95)",amecaji_images/6_42.webp
337,"(80, 71, 74)","(45, 84, 137)",amecaji_images/6_43.webp
338,"(56, 56, 60)","(47, 46, 47)",amecaji_images/6_44.webp
339,"(93, 88, 93)","(94, 88, 91)",amecaji_images/6_45.webp
340,"(55, 74, 104)","(89, 103, 123)",amecaji_images/6_46.webp
341,"(91, 106, 135)","(140, 156, 188)",amecaji_images/6_47.webp
342,"(109, 97, 95)","(147, 143, 151)",amecaji_images/6_48.webp
343,"(92, 92, 104)","(78, 119, 156)",amecaji_images/6_49.webp
344,"(75, 76, 87)","(75, 79, 89)",amecaji_images/6_50.webp
345,"(87, 107, 141)","(97, 106, 131)",amecaji_images/6_51.webp
346,"(77, 71, 70)","(105, 97, 104)",amecaji_images/6_52.webp
347,"(49, 52, 65)","(84, 81, 87)",amecaji_images/6_53.webp
348,"(49, 53, 62)","(92, 82, 78)",amecaji_images/6_54.webp
349,"(115, 89, 87)","(87, 79, 77)",amecaji_images/6_55.webp
350,"(123, 140, 177)","(131, 140, 170)",amecaji_images/6_56.webp
351,"(54, 55, 59)","(152, 151, 160)",amecaji_images/6_57.webp
352,"(60, 68, 91)","(95, 97, 111)",amecaji_images/6_58.webp
353,"(91, 85, 104)","(65, 83, 126)",amecaji_images/6_59.webp
354,"(45, 53, 56)","(81, 76, 73)",amecaji_images/7_0.webp
355,"(79, 76, 70)","(165, 142, 130)",amecaji_images/7_1.webp
356,"(110, 107, 100)","(102, 88, 75)",amecaji_images/7_2.webp
357,"(101, 118, 162)","(169, 152, 139)",amecaji_images/7_3.webp
358,"(69, 64, 54)","(41, 39, 37)",amecaji_images/7_4.webp
359,"(37, 41, 55)","(54, 55, 62)",amecaji_images/7_5.webp
360,"(93, 95, 107)","(101, 103, 118)",amecaji_images/7_6.webp
361,"(91, 114, 143)","(135, 159, 186)",amecaji_images/7_7.webp
362,"(82, 107, 147)","(150, 158, 186)",amecaji_images/7_8.webp
363,"(94, 70, 56)","(55, 59, 69)",amecaji_images/7_9.webp
364,"(147, 150, 149)","(75, 74, 75)",amecaji_images/7_10.webp
365,"(40, 43, 48)","(53, 59, 75)",amecaji_images/7_11.webp
366,"(49, 56, 68)","(59, 55, 55)",amecaji_images/7_12.webp
367,"(75, 78, 95)","(85, 94, 113)",amecaji_images/7_13.webp
368,"(46, 47, 49)","(152, 149, 148)",amecaji_images/7_14.webp
369,"(111, 118, 152)","(94, 84, 90)",amecaji_images/7_15.webp
370,"(90, 87, 81)","(53, 76, 102)",amecaji_images/7_16.webp
